station,lat,lon
US-Beo,71.2810,-156.6123
US-Bes,71.2809,-156.5965
US-Bi1,38.0992,-121.4993
US-Bi2,38.1091,-121.5351
US-Blo,38.8953,-120.6328
US-CRT,41.6285,-83.3471
US-Cop,38.0900,-109.3900
US-DPW,28.0521,-81.4361
US-EDN,37.6156,-122.1140
US-EML,63.8784,-149.2536
US-GBT,41.3658,-106.2397
US-GLE,41.3665,-106.2399
US-Goo,34.2547,-89.8735
US-HRA,34.5852,-91.7517
US-HRC,34.5888,-91.7517
US-Ha1,42.5378,-72.1715
US-Ho1,45.2041,-68.7402
US-IB2,41.8406,-88.2410
US-ICs,68.6058,-149.3110
US-Ivo,68.4865,-155.7503
US-KS1,28.4583,-80.6709
US-KS2,28.6086,-80.6715
US-LA1,29.5013,-90.4449
US-LA2,29.8587,-90.2869
US-LWW,34.9604,-97.9789
US-Lin,36.3566,-119.0922
US-Los,46.0827,-89.9792
US-MAC,27.1632,-81.1873
US-MMS,39.3232,-86.4131
US-MRM,40.8164,-74.0435
US-Me1,44.5794,-121.5000
US-Me2,44.4526,-121.5589
US-Me3,44.3154,-121.6078
US-Me4,44.4992,-121.6224
US-Me5,44.4372,-121.5668
US-Me6,44.3233,-121.6078
US-Myb,38.0499,-121.7650
US-NC4,35.7879,-75.9038
US-NGB,71.2800,-156.6092
US-NGC,64.8618,-163.7002
US-NR1,40.0329,-105.5464
US-Ne1,41.1651,-96.4766
US-Ne2,41.1649,-96.4701
US-Ne3,41.1797,-96.4397
US-ORv,40.0201,-83.0183
US-OWC,41.3795,-82.5125
US-Oho,41.5545,-83.8438
US-PFa,45.9459,-90.2723
US-Prr,65.1237,-147.4876
US-SRC,31.9083,-110.8395
US-SRG,31.7894,-110.8277
US-SRM,31.8214,-110.8661
US-Snd,38.0366,-121.7540
US-Sne,38.0369,-121.7547
US-Srr,38.2006,-122.0264
US-StJ,39.0882,-75.4372
US-Sta,41.3966,-106.8024
US-Syv,46.2420,-89.3477
US-Ton,38.4309,-120.9660
US-Tw1,38.1074,-121.6469
US-Tw2,38.0969,-121.6365
US-Tw3,38.1152,-121.6469
US-Tw4,38.1027,-121.6413
US-Tw5,38.1072,-121.6426
US-Twt,38.1087,-121.6531
US-UMB,45.5598,-84.7138
US-UMd,45.5625,-84.6975
US-Uaf,64.8663,-147.8555
US-Var,38.4133,-120.9508
US-WCr,45.8059,-90.0799
US-WPT,41.4646,-82.9962
US-Whs,31.7438,-110.0522
US-Wi0,46.6188,-91.0814
US-Wi1,46.7305,-91.2329
US-Wi2,46.6869,-91.1528
US-Wi3,46.6347,-91.0987
US-Wi4,46.7393,-91.1663
US-Wi5,46.6531,-91.0858
US-Wi6,46.6249,-91.2982
US-Wi7,46.6491,-91.0693
US-Wi8,46.7223,-91.2524
US-Wi9,46.7385,-91.0746
US-Wkg,31.7365,-109.9419
ZA-Kru,-25.0197,31.4969
ZM-Mon,-15.4391,23.2525
